artifact_id,class,relative_path,sha256,source_authority,note
P0_AUTHORITY_SNAPSHOT,phase0,revision_v4_1/PHASE0_AUTHORITY_SNAPSHOT.txt,0e38b2773df57f557ecccaf0665665a0898bc9cd37dc17f3e7e750d793ad8ab7,archive/pre_v4.1_reviewer_ready_authority_2026-08-30.tar.gz,Pointer to the immutable pre-v4.1 snapshot hash
P0_CLAIM_TIER_TABLE,phase0,revision_v4_1/CLAIM_TIER_TABLE.csv,09c5d21148dfca270552c9a1a05b3d7bebb4a4d92e0ec80c1476a4178646cf3f,manuscript/CLAIM_EVIDENCE_INDEX.csv,One row per indexed claim
P0_INCLUSION_RULE,phase0,revision_v4_1/MANUSCRIPT_INCLUSION_RULE.txt,db620fd55e97613217a753f3d547b161ddcd4718d57740b16deabc8c6860d014,manuscript/CLAIM_EVIDENCE_INDEX.csv,Main-text versus appendix versus scoped-out rule
P0_ANALYSIS_BOUNDARY,phase0,revision_v4_1/NEW_ANALYSIS_BOUNDARY.txt,8356188e9e41175c3a9a1fef510e0d1669f3c9719f1d8745972641ee2990b914,Three_Axis_Mapper_Targeted_Revision_Plan_v4_1,Authorized text-only derived robustness and forbidden work
P0_NONINDEX_BOUNDARIES,phase0,revision_v4_1/NONINDEX_BOUNDARIES.txt,5ee33304374e8426047dea83ad83069cf0bab5ffe8890fca45d867f55355df1a,manuscript/CLAIMS.txt,Algebraic unmeasurable and prohibited claims without index rows
P0_FREEZE_RECORD,phase0,revision_v4_1/PHASE0_FREEZE_RECORD.txt,523952d9b97d2d93b092b6f2966327afa210b6d9e8e734703ec0674143f5f289,revision_v4_1/,Phase 0 acceptance record after E2M_III3 correction
P1_DESIGN_TABLE,phase1,revision_v4_1/MASTER_EXPERIMENTAL_DESIGN_TABLE.csv,91c9fac2b209e52f9a7f310dcd1b1d551a9fbe6375c86c478a0ce4d557e39ef4,campaign ledgers and contracts,Generated master experimental-design table
P1_DESIGN_TABLE_TEX,phase1,manuscript/tables/master_experimental_design.tex,1fc2b26c0027dd5c58c3962d3a1619569c3441d0408433f2c0ab20f3a95918c0,revision_v4_1/MASTER_EXPERIMENTAL_DESIGN_TABLE.csv,Auto-generated TeX; do not hand-edit
P1_DESIGN_GENERATOR,phase1,revision_v4_1/generate_master_design_table.py,94eb3522b9b85ff239d32e4f2f94571eb83cf29fb36ad0f4159e6ebd9aa0fdb6,frozen ledgers,Fails closed on known-correction drift
P1_VERIFIER,phase1,revision_v4_1/verify_phase1.py,b073a0c42d36c6015fd6478f72a67df09ce52f6a2ca4c572150a7a6551a31c6e,plan sections 3.1-3.5,PHASE1_CHECKS_PASSED
P1_CHECK_RECORD,phase1,revision_v4_1/PHASE1_CHECK_RECORD.txt,9f17fec0346a4f987e424403161ccaecffce2f71e5b10c83053603e4c394b50e,revision_v4_1/,Phase 1 acceptance record
P2_M6A2_TABLE,phase2,manuscript/tables/m6a2_stability.tex,3017e963e0f5b6aaef16a293bcb09dded00c7ee3a349541727a2274f81b859e9,evidence/baseline/m6a2/,Generated paired bottleneck-difference table
P2_R10_TABLE,phase2,manuscript/tables/r10_accounting.tex,20037fd120c069ed28f4ec45063e32413d822b620fa3fec2a4f254bf7476b226,evidence/baseline/r10/R10_V4_RUN_ACCOUNTING.json,Generated 282-construction accounting table
P2_ENV_TABLE,phase2,manuscript/tables/environment_provenance.tex,920e96f5af7af3be7dfc17a8e24fdbcc69321e28023293a89206ddc8c3f4b4fb,environment/README.md,CPython 3.12 vs 3.13.5 provenance
P2_GENERATOR,phase2,revision_v4_1/generate_phase2_tables.py,96c5ad7f6c3017a9a81ad6b35a25c0c397af38b91fcfdbd8afdcccc368ebdadb,frozen M6-A2 and R10 ledgers,Fails closed on R10 282/205 drift
P2_VERIFIER,phase2,revision_v4_1/verify_phase2.py,b9202382c014fd5b60e8ffa4d4d746278bf4465f1e6dfcace69a6745dfbc163b,plan section 4,PHASE2_CHECKS_PASSED
P2_CHECK_RECORD,phase2,revision_v4_1/PHASE2_CHECK_RECORD.txt,a295816380d9b047ad3da27b5518f2b77b259b106fcc8a88e866b498ca7fc03b,revision_v4_1/,Phase 2 acceptance record
P0_CLAIM_INDEX_EXPANDED,phase0,manuscript/CLAIM_EVIDENCE_INDEX.csv,e23793cd5040ff50fab68d5cb7a9f1c2884f0eb95dbc4051d235296c4be2d54f,revision_v4_1/CLAIM_TIER_TABLE.csv,Original four columns plus tier estimand rule location status
P0_FREEZE_BOUNDARY_TEX,phase0,manuscript/tables/freeze_and_boundary.tex,dff766bef959f1451ae0f4d6a36fb05e11a17a1d13dd53b4b8e216e1f4a77a45,archive/pre_v4.1 snapshot and NEW_ANALYSIS_BOUNDARY.txt,Snapshot hash and analysis boundary in the manuscript
P0_CLAIM_INDEX_GENERATOR,phase0,revision_v4_1/generate_claim_index.py,7aec0756a4150e06cad92025f8b4674b7822255bc15d92e3773359e7009aff13,CLAIM_TIER_TABLE.csv,Writes reviewer-visible claim index
P_PLAN_SURFACE_VERIFIER,phase0,revision_v4_1/verify_plan_surfaces.py,a1c27d13668c37acfbfb0c4c79fcc0bcb1353fe722196fe9feb3826154fffcf0,plan v4.1 critique list,PLAN_SURFACE_CHECKS_PASSED
P3_C1_DOSE,phase3,revision_v4_1/derived/C1_FULL_DOSE_RESPONSE_V4_1.json,eb87448523b4824f507884f4c5d2e4cec95b3e12e04b38945cdc6317fe5c008b,evidence/campaigns/c1/,Four-dose D_M and Silhouette with 30/30 eligibility
P3_C1_FIG,phase3,manuscript/figures/fig07_c1_perturbation_response.pdf,8691eeca02e7fa9428770191b02a0b1ed138a14ccad655f4310d7c56ed6a106f,C1_FULL_DOSE_RESPONSE_V4_1.json,Additive C1 perturbation-response figure; matplotlib PDF metadata is not byte-stable so verifiers must not rewrite it
P3_M6A2_W,phase3,revision_v4_1/derived/M6A2_WASSERSTEIN_COMPANION_V4_1.json,c3281c58cd6bd369f52abb3b979834e6de63562addb65307b6f889bfb825399c,evidence/baseline/m6a2/,Wasserstein companion and paired method differences
P3_C8_DISCORD,phase3,revision_v4_1/derived/C8_QUALITY_FIDELITY_DISCORDANCE_V4_1.json,86372054bfe4ea85288eebbdba7bd8b747f8bf9c564e32edbb17ff3a923cda61,evidence/campaigns/c8/C8_CONSTRUCTION_LEDGER.jsonl,Within-grid quartile discordance and 72-vs-315 bootstrap
P3_FAILTAX,phase3,revision_v4_1/derived/FAILURE_TAXONOMY_V4_1.json,547dc2521b7cc883547805820bd999daae6cb537f6ed176f1605e29004125411,C8 ledger and III2B_RECOVERY_SUMMARY.csv,C8 run-level and III-2B cell-level only
P3_GENERATOR,phase3,revision_v4_1/generate_phase3_derived.py,8db2da128c4b7bc85714d768465ddb77cb59a4a3cd549f829eb08a615eba1119,frozen C1 C8 M6-A2 III-2B,No new Mapper constructions; skips figure rewrite unless missing
P3_VERIFIER,phase3,revision_v4_1/verify_phase3.py,73a7730b0284f407104698381a17f9e454d7c2c6d47f64ece115a5fb36080e21,plan section 5,PHASE3_CHECKS_PASSED; PHASE3_WRITE_FIGURES=never
P3_CHECK_RECORD,phase3,revision_v4_1/PHASE3_CHECK_RECORD.txt,e0901527eb15be2b9df6c6e6649220b7aa02d4d4c50d4b4523714f3061d2274c,revision_v4_1/,Phase 3 acceptance record plus figure-hash re-audit
P4_FCM_JSONL,phase4,revision_v4_1/derived/FCM_SOLVER_SENSITIVITY_AUDIT_V4_1.jsonl,8648a9a6df6ffbba760d99cfd5f319c9565417b44722b8697f17d6c51344cc67,C3/C8 frozen lens values,1055 unit reclassifications; 0 Mapper constructions
P4_FCM_SUMMARY,phase4,revision_v4_1/derived/FCM_SOLVER_SENSITIVITY_AUDIT_V4_1_SUMMARY.json,932fce6040ebc104fbfa984e0e3d38a6d5bb2ec19a0d0b8d2f72ccc15e570bb6,FCM_SOLVER_SENSITIVITY_AUDIT_V4_1.jsonl,Robustness summary; not confirmatory
P4_FCM_TEX,phase4,manuscript/tables/fcm_solver_sensitivity.tex,089e7bf31ecc70c05354cd5ecdebfd5af043a30c22e8350b2f3e4320a3957dfe,FCM_SOLVER_SENSITIVITY_AUDIT_V4_1_SUMMARY.json,Dataset-by-c reclassification table tab:fcmsolv
P4_ENV_SKIP,phase4,revision_v4_1/derived/ENV_EQUIVALENCE_CHECK_V4_1_SKIP.json,9d902eb43ffa928b5d1d5237b1663899301d390704bdf19ac3dbda7fc6f12cf9,plan section 6.2,skipped_interpreter_unavailable; no CPython 3.13.5
P4_RUNNER,phase4,revision_v4_1/run_fcm_solver_audit.py,a8b02a413af8ebfe4ab028bf7adece33506b691a0deb8742900d57e68dec3b16,frozen run_fcm_1d and frozen C3/C8 plans,FCM-only audit; does not edit C3/C8
P4_VERIFIER,phase4,revision_v4_1/verify_phase4.py,36b94bae16563952c505ebd28c0a2a934d25f12f577a64dcc36572c675d0584f,plan section 6,PHASE4_CHECKS_PASSED
P4_CHECK_RECORD,phase4,revision_v4_1/PHASE4_CHECK_RECORD.txt,7e3f7edbb8c5c08ec1b96a2918228ffc626e6ba7ea1ef57851af352a83bdbb1d,revision_v4_1/,Phase 4 acceptance record
P5_VERIFIER,phase5,revision_v4_1/verify_phase5.py,286dafcfccbafef1f9f76efd17bf599c0aacd249b17400482aef28a2cce062ee,plan section 7,PHASE5_CHECKS_PASSED
P5_CHECK_RECORD,phase5,revision_v4_1/PHASE5_CHECK_RECORD.txt,2be1e997667b63db54cdf8f9172effab8673853f2a88c47d55b92a2ccadc1417,revision_v4_1/,Phase 5 acceptance record
P6_PRE_SHA256,phase6,revision_v4_1/PRE_V4_1_SHA256SUMS.txt,1172ff7b6071c8477cb2a9100ca9c8feddf5fe962dd60081ec02e9aee10928e7,SHA256SUMS.txt at Phase 6 start,Immutable pre-v4.1 path hashes for frozen science
P6_NUMBER_MAP,phase6,manuscript/V4_1_NUMBER_EVIDENCE_MAP.csv,912ff48be9b0a7485cf9b1e99084a3673e5ba82bc4725aec3376c85f896a8fb5,derived v4.1 objects and frozen ledgers,Every new manuscript number maps to controlling evidence
P6_FIGDATA,phase6,manuscript/figures/FIGURE_DATA_V4_1.json,7fd5c6e695baf6b942700e1931b3c04a96853a63db989f7d7d14093d35564951,C1_FULL_DOSE_RESPONSE_V4_1.json,fig07 bound to derived C1 evidence; does not replace fig01-06
P6_PROVENANCE,phase6,revision_v4_1/derived/CAMPAIGN_REPLAY_PROVENANCE_V4_1.csv,9ff4ed46fa321563275b8704ae19183af4182ab3abc4968459456826fabb65e7,headline campaigns,Replay class per campaign
