claim_id,axis,index_type,v4_1_tier,estimand,evidence_authority,resolution_rule,uncertainty,current_manuscript_location,v4_1_manuscript_status,current_terminal_state,inclusion_reason,phase0_notes
QS_CIRCLE,II,secondary_nonadjudicating,exploratory,Historical Circle quality-survival composite signature.,evidence/baseline/quality_survival/REPLICATION_1300_QS_PAIRED_LEDGER.jsonl,Do not adjudicate. Mapper-distance component was not replayed on the exact joint common-cover endpoint.,Non-adjudicating provenance; no confirmatory interval.,RESULTS.txt Axis II; LIMITATIONS.txt; not a main-text figure.,scope_excluded_adjudication,retained_nonadjudicating_provenance,Scoped out of adjudication because the composite was not replayed under the release endpoint.,index_type=secondary_nonadjudicating. Keep in claim index for traceability only.
C1_SWISS,II,primary,confirmatory,Originally adjudicated C1 primary pattern on Swiss at alpha=0.05: paired local-quality change versus exact joint D_M^NA under frozen realized pullbacks. 30 clean references and 30 pairs at each of four positive doses (120 perturbed constructions; 150 total).,evidence/campaigns/c1/FINAL_ACCOUNTING.json,"Confirmatory pattern is not observed (terminal PRIMARY_PATTERN_NOT_OBSERVED). Do not present C1 as confirmation of that original claim. Swiss alpha=0.05 may remain only as a descriptive axis-disagreement example, and only with the full four-dose series and eligibility denominators.",Medians over 30 pairs at alpha=0.05; full 120-pair dose series is shipped and will be summarized as derived evidence B1.,sec:quality Swiss example and fig:c1quality (alpha=0.05 only); sec:integration calls it the most direct counterexample.,main_text,PRIMARY_PATTERN_NOT_OBSERVED,Failed confirmatory terminal state must be in the main text; descriptive reuse is allowed only with the complete dose series.,Phase 1 text repair A1; Phase 3 derived analysis B1. Remove unlabelled most-direct-counterexample language.
C2_SELECTION,II,typed_failure,failure-accounting,Existence of an eligible three-arm comparison under the frozen candidate-selection rule (260 units).,evidence/campaigns/c2/FINAL_ACCOUNTING.json,"0/260 units eligible; terminal SELECTION_FAILED_IN_ALL_UNITS. Released 260 unit and 780 arm rows are deterministic reconstructions checked against journaled unit outcomes, not original persisted production ledgers.",Exact counts. Reconstruction qualification is mandatory.,sec:quality Failure itself is part of quality evaluation.,main_text,SELECTION_FAILED_IN_ALL_UNITS,Main-text failure mode: no legitimate three-arm comparison exists.,Do not treat reconstructed rows as original persisted output.
C3_FMAPPER,II,primary,confirmatory,"F-Mapper construction-status distribution over 525 Swiss/Digits units (success, FCM non-convergence, coverage gap).",evidence/campaigns/c3/C3_CONSTRUCTION_LEDGER.jsonl,"Report 339 success / 181 FCM non-convergence / 5 coverage gaps. Every non-convergence statement names frozen solver criterion tol=1e-7, max_iter=300, deterministic linspace initialization.","Exact status counts. IB4F c-by-threshold interaction on the same ledger is exploratory, not a C3 confirmatory estimand.",sec:quality Construction reliability of F-Mapper; fig:fmapperreliability panels A--B.,main_text,339_success_181_fcm_non_convergence_5_coverage_gap,Primary reliability result for Axis II.,Class C FCM audit may reclassify counts under other tolerances; frozen C3 remains the confirmatory campaign.
C4_FMAPPER,I,primary,confirmatory,"Median exact joint D_M^NA at 50% versus 80% retention under a frozen F-Mapper cover, Swiss and Digits, 20 defined comparisons per cell.",evidence/campaigns/c4_fmapper/C4R_CONSTRUCTION_LEDGER.jsonl,Report cell medians and 20/20 denominators. Two retention levels show a difference in this design; they do not establish a general monotone law in sample fraction.,Medians over 20 defined comparisons per dataset-by-retention cell.,sec:stability Fixed-cover subsampling; tab:axis1fixed; fig:axis1subsampling panel A.,main_text,defined_20_of_20_both_levels,Headline Axis-I F-Mapper stability result.,"Master design table must be generated from the ledger, not hand-copied."
C4_BALL,I,descriptive,exploratory,Median frozen-landmark retained-edge fraction on Swiss at 50% and 80% retention.,evidence/campaigns/c4_ball_ensemble/C4V2_BALL_LEDGER.jsonl,Report retained-edge medians 0.6669 and 0.8854 with 20/20 denominators. Do not promote the algebraically zero fixed-landmark label distance as empirical stability.,Medians over 20 defined comparisons per retention level.,sec:stability Fixed-cover subsampling; tab:axis1fixed; fig:axis1subsampling panel C.,main_text,retained_edge_defined_20_of_20,Method-appropriate Axis-I diagnostic for Ball Mapper; needed to keep endpoints from being ranked on a common scale.,Algebraic zero label-distance is recorded in NONINDEX_BOUNDARIES.txt.
C4_ENSEMBLE,I,typed_failure,failure-accounting,Constructibility of the Kang-Lim RCESCC Ensemble Mapper with project-specified metric-medoid Silhouette assignment under the C4 fixed design (123 units).,evidence/campaigns/c4_ball_ensemble/C4V2_ENSEMBLE_LEDGER.jsonl,Circle 41/41 success; Swiss 0/41 and Digits 0/41 with status insufficient_valid_candidates. Do not condition stability summaries on successfully constructed ensembles only.,Exact constructibility counts.,sec:integration Ensemble Mapper is not automatically a stability regularizer.,main_text,41_circle_success_82_swiss_digits_selection_failure,Main-text failure mode: selection-stage constructibility is part of the empirical result.,Keep the qualified method name (A6). Do not attribute results to unmodified source Ensemble Mapper.
CIA2_CONVENTIONAL,I,primary,confirmatory,"Exact joint D_M^NA under frozen Conventional covers: defined-denominator counts and defined medians by dataset and retention (50%, 80%).",evidence/campaigns/conventional_fixed_cover/CIA2_CONSTRUCTION_LEDGER.jsonl,"Circle 40/40 defined (39 zeros, one 0.084). Swiss 8/20 defined at 50% and 20/20 at 80%. Digits 0/20 at both levels because the clean Digits reference itself is degenerate_output / all_points_unassigned, so subsample comparisons are reference-ineligible. Undefined is not zero.",Defined medians only over surviving comparisons; denominators are the result.,sec:stability Fixed-cover subsampling; tab:axis1fixed; fig:axis1subsampling panel B.,main_text,digits_reference_ineligible_all_points_unassigned,"Headline Conventional Axis-I result, including the Digits incomparability.",Phase 1 A4: do not describe the Digits 0/20 as a generic high-dimensional instability law.
C5_CIRCLE,III,finite_case,confirmatory,"Single frozen F-Mapper Circle finite case: same-filter graph and nerve (beta0, beta1)=(1,1) agreement with the analytic reference.",evidence/campaigns/c5/C5TA_LEDGER.jsonl,"One successful eligible construction with exact invariant agreement. Frequency statements at (c=10, tau=0.10) are taken from C8, which supersedes this isolated observation.",Finite case n=1; not a recovery probability or theorem.,sec:fidelity F-Mapper finite-case and finite-grid fidelity.,main_text,finite_case_exact_agreement,Finite-case sanity check; C8 carries frequency.,index_type=finite_case. Do not transfer interval-cover Mapper theorems to FCM threshold covers.
C5_TRIPOD,III,typed_failure,failure-accounting,Constructibility of the single frozen F-Mapper Tripod finite case.,evidence/campaigns/c5/C5TA_LEDGER.jsonl,"fcm_non_convergence; all endpoints remain null. Interpret as one realization from the C8 Tripod series (9/30 non-convergence), not as evidence that branching domains generally cause failure.",Finite case n=1.,sec:fidelity F-Mapper finite-case and finite-grid fidelity.,main_text,fcm_non_convergence,Failure accounting for the isolated Tripod attempt.,Name the frozen FCM solver criterion with this count (A5).
C6A_CONVENTIONAL,I,unmeasurable,failure-accounting,"Primary paired contrast D_COMMON_ID(n=15,p=.30)-D_COMMON_ID(n=10,p=.30) at alpha=0.05 under a frozen Conventional Swiss cover.",evidence/campaigns/c6a/C6A_LEDGER.jsonl,"PRIMARY_ESTIMAND_NOT_MEASURABLE. 0/20 complete primary pairs; 160/200 coverage-gap rows. Outside-cover medians (119, 233, 445, 626.5) are diagnostics, not salvaged labels.",Estimand undefined; no interval is reported for the primary contrast.,sec:stability When the stability estimand becomes undefined; fig:interactions panel B.,main_text,PRIMARY_ESTIMAND_NOT_MEASURABLE,Distinct failure mode: comparison object does not exist.,"Refitted-cover control is Class D, not authorized."
C6B_BALL,I,primary,confirmatory,"Median difference-in-differences of frozen-landmark Ball Swiss edge-Jaccard: [dJ(alpha=0.10,k=2.0)-dJ(alpha=0.05,k=2.0)]-[dJ(alpha=0.10,k=1.0)-dJ(alpha=0.05,k=1.0)], 20 complete replicates.",evidence/campaigns/c6b/C6B_LEDGER.jsonl,"INTERACTION_ESTIMABLE. Point 0.012256; paired-bootstrap 95% interval spans zero, so the interaction is unresolved at this design scale.","Paired bootstrap 95% CI, B=20000, seed 20260828, interval [-0.014962, 0.028811].",sec:stability Ball Swiss noise-by-radius; fig:interactions panel C.,main_text,INTERACTION_ESTIMABLE_INTERVAL_SPANS_ZERO,Confirmatory interaction that remains unresolved.,Measurable but unresolved is a different outcome from C6-a and C9.
IB4F_FMAPPER,II,exploratory,exploratory,"Calibrated c-by-threshold interaction on F-Mapper construction-success probability, bound to the C3 ledger (525 rows). Scope is construction success only.",evidence/campaigns/ib4f/RESULT.json,EXPLORATORY_NO_CONFIRMATORY_INTERACTION. Likelihood-ratio p=0.1398; calibrated residual p=0.1280. Do not promote to confirmatory.,Exploratory p-values as diagnostics only; not a confirmatory decision rule.,RESULTS.txt C3 bullet; not a dedicated tex subsection.,appendix,EXPLORATORY_NO_CONFIRMATORY_INTERACTION,Indexed exploratory analysis; appendix prevents it from being mistaken for a C3 confirmatory interaction.,Bound to C3_CONSTRUCTION_LEDGER.jsonl by source SHA256 in RESULT.json.
IV1_COVER,I-II,descriptive,exploratory,"Descriptive Spearman associations between structural distance and local quality over 11 controlled cells per dataset (Circle, Swiss, Digits).",evidence/baseline/iv1_cover/dataset_associations.csv,Report the six coefficients. No p-values. Sign change across datasets is the scientific point; no consistent replacement of Axis I by cluster quality.,n=11 controlled cells per dataset; descriptive only.,sec:integration Stability and local cluster quality.,main_text,descriptive_sign_change_across_datasets,Main-text illustration that Axis I and Axis II need not agree in sign.,p_value_reported=False in the controlling CSV.
IV2,II-III,descriptive,exploratory,Descriptive Spearman associations between local quality and type-restricted persistence error across 12 Conventional Circle cover cells.,evidence/baseline/iv2/IV2_ASSOCIATION_ROWS.json,"Report rho=-1 / +1 as a description of this controlled grid, not as a universal law.",n=12 complete pairs; extremal coefficients partly reflect the one-benchmark design.,sec:integration Cluster quality and fidelity.,main_text,descriptive_perfect_order_on_12_cells,Main-text quality-versus-fidelity association on Conventional Circle.,Do not causalize.
IV3_STABILITY_FIDELITY,I-III,descriptive,exploratory,Co-movement of D_M and Reeb-fidelity displacement on 32 eligible rows in four Circle/Tripod perturbation strata.,evidence/baseline/iv3/IV3_PER_UNIT_DERIVED_LEDGER.jsonl,Graph/nerve cycle counts are preserved in all four strata; type-restricted persistence error can improve or deteriorate while D_M varies widely. Descriptive only.,32 eligible rows; analysis_type=retrospective_analysis_only; zero_imputation_count=0.,sec:integration Stability and fidelity (32-row paragraph).,main_text,descriptive_axes_not_forced_to_comove,Main-text demonstration that Mapper change and Reeb-reference distance are different questions.,"Distinct from IB1/III-4, which is a separate 34-row Conventional perturbation campaign."
IV5,I-II,descriptive,exploratory,"Cover-arm descriptive associations on 33 controlled cells (12 exact IB2 anchors) across Circle, Swiss, and Digits.",evidence/baseline/iv5,Descriptive companion to IV-1. No p-values. Do not treat as a second confirmatory stability study.,n=11 evaluated pairs per association; 12 exact anchors.,Not named in tex; RESULTS.txt groups IV-1/2/3/5 as descriptive.,appendix,descriptive_cover_arm_companion,Appendix: IV-1 already carries the quoted main-text coefficients; IV-5 remains ledger-bound descriptive support.,Explicit appendix placement satisfies the no-silent-omission rule.
IB1_III4_CIRCLE,I-III,primary,confirmatory,Conventional Circle perturbation: eligibility and graph/nerve cycle preservation on the IB1/III-4 Circle rows inside the 34-row eligible campaign.,evidence/baseline/ib1_iii4/IB1_III4_EVIDENCE_RECORDS.jsonl,"34/34 campaign rows scientifically eligible. Circle rows remain in attempt-level denominators; report ledger-bound cycle preservation, not a convergence theorem.",Finite frozen design; exact eligibility 34/34.,RESULTS.txt Axis III; not named in mapper_manuscript.tex or the evidence-map appendix.,evidence_map,34_of_34_eligible,Primary indexed campaign currently unnamed in tex. v4.1 must name it in the evidence map and keep numbers ledger-bound. Not scoped out.,Do not conflate with IV-3's 32-row descriptive analysis.
