spoke_id,attempt_order,disposition,attempted,halt_class,halt_reason,triggering_spoke_id
IV1CA__unit_circle_S1__L05_P020,1,evaluated,True,NA,,
IV1CA__unit_circle_S1__L05_P030,2,evaluated_anchor_confirmed,True,NA,,
IV1CA__unit_circle_S1__L05_P050,3,evaluated,True,NA,,
IV1CA__unit_circle_S1__L10_P020,4,evaluated_anchor_confirmed,True,NA,,
IV1CA__unit_circle_S1__L10_P050,5,evaluated_anchor_confirmed,True,NA,,
IV1CA__unit_circle_S1__L15_P020,6,evaluated,True,NA,,
IV1CA__unit_circle_S1__L15_P030,7,evaluated_anchor_confirmed,True,NA,,
IV1CA__unit_circle_S1__L15_P050,8,evaluated,True,NA,,
IV1CA__unit_circle_S1__L20_P020,9,evaluated,True,NA,,
IV1CA__unit_circle_S1__L20_P030,10,evaluated,True,NA,,
IV1CA__unit_circle_S1__L20_P050,11,evaluated,True,NA,,
IV1CA__swiss_roll_with_hole__L05_P020,12,evaluated,True,NA,,
IV1CA__swiss_roll_with_hole__L05_P030,13,evaluated_anchor_confirmed,True,NA,,
IV1CA__swiss_roll_with_hole__L05_P050,14,evaluated,True,NA,,
IV1CA__swiss_roll_with_hole__L10_P020,15,evaluated_anchor_confirmed,True,NA,,
IV1CA__swiss_roll_with_hole__L10_P050,16,evaluated_anchor_confirmed,True,NA,,
IV1CA__swiss_roll_with_hole__L15_P020,17,evaluated,True,NA,,
IV1CA__swiss_roll_with_hole__L15_P030,18,evaluated_anchor_confirmed,True,NA,,
IV1CA__swiss_roll_with_hole__L15_P050,19,evaluated,True,NA,,
IV1CA__swiss_roll_with_hole__L20_P020,20,evaluated,True,NA,,
IV1CA__swiss_roll_with_hole__L20_P030,21,evaluated,True,NA,,
IV1CA__swiss_roll_with_hole__L20_P050,22,evaluated,True,NA,,
IV1CA__digits_1797x64_scaled16__L05_P020,23,evaluated,True,NA,,
IV1CA__digits_1797x64_scaled16__L05_P030,24,evaluated_anchor_confirmed,True,NA,,
IV1CA__digits_1797x64_scaled16__L05_P050,25,evaluated,True,NA,,
IV1CA__digits_1797x64_scaled16__L10_P020,26,evaluated_anchor_confirmed,True,NA,,
IV1CA__digits_1797x64_scaled16__L10_P050,27,evaluated_anchor_confirmed,True,NA,,
IV1CA__digits_1797x64_scaled16__L15_P020,28,evaluated,True,NA,,
IV1CA__digits_1797x64_scaled16__L15_P030,29,evaluated_anchor_confirmed,True,NA,,
IV1CA__digits_1797x64_scaled16__L15_P050,30,evaluated,True,NA,,
IV1CA__digits_1797x64_scaled16__L20_P020,31,evaluated,True,NA,,
IV1CA__digits_1797x64_scaled16__L20_P030,32,evaluated,True,NA,,
IV1CA__digits_1797x64_scaled16__L20_P050,33,evaluated,True,NA,,
