manuscript_number,quantity,controlling_evidence,source_authority,claim_id,tier
0.626863,C1 alpha=0.05 median D_M^NA,revision_v4_1/derived/C1_FULL_DOSE_RESPONSE_V4_1.json,evidence/campaigns/c1/C1_COMPARISON_LEDGER.jsonl,C1_SWISS,exploratory (failed confirmatory pattern; four-level descriptive)
0.843945 / 0.919686 / 0.937897,C1 alpha=0.10/0.20/0.30 median D_M^NA,revision_v4_1/derived/C1_FULL_DOSE_RESPONSE_V4_1.json,evidence/campaigns/c1/C1_COMPARISON_LEDGER.jsonl,C1_SWISS,exploratory
30/30 x 4,C1 eligibility at each positive perturbation level,revision_v4_1/derived/C1_FULL_DOSE_RESPONSE_V4_1.json,evidence/campaigns/c1/C1_COMPARISON_LEDGER.jsonl,C1_SWISS,failure-accounting
tab:m6a2 bottleneck means/CIs,M6-A2 method x noise bottleneck displacement,manuscript/tables/m6a2_stability.tex,evidence/baseline/m6a2/,M6A2_STABILITY,confirmatory (bottleneck primary)
tab:m6a2w Wasserstein means/CIs,M6-A2 Wasserstein companion (not primary ordering),revision_v4_1/derived/M6A2_WASSERSTEIN_COMPANION_V4_1.json,evidence/baseline/m6a2/,M6A2_STABILITY,exploratory companion
282 / 205 / 30 / 47,R10 attempted / eligible / successful-ineligible / typed degenerate,manuscript/tables/r10_accounting.tex,evidence/baseline/r10/R10_V4_RUN_ACCOUNTING.json,R10_STRUCTURAL,failure-accounting
0.371134 (36/97),C8 within-grid high-quality mismatch discordance,revision_v4_1/derived/C8_QUALITY_FIDELITY_DISCORDANCE_V4_1.json,evidence/campaigns/c8/C8_CONSTRUCTION_LEDGER.jsonl,C8_FMAPPER_AXIS3,exploratory
"0.034752 [0.030035,0.039450]",C8 Silhouette mean difference mismatch-minus-match,revision_v4_1/derived/C8_QUALITY_FIDELITY_DISCORDANCE_V4_1.json,evidence/campaigns/c8/C8_CONSTRUCTION_LEDGER.jsonl,C8_FMAPPER_AXIS3,exploratory
"-0.052745 [-0.059958,-0.045493]",C8 Davies-Bouldin mean difference mismatch-minus-match,revision_v4_1/derived/C8_QUALITY_FIDELITY_DISCORDANCE_V4_1.json,evidence/campaigns/c8/C8_CONSTRUCTION_LEDGER.jsonl,C8_FMAPPER_AXIS3,exploratory
530 / 408 / 111 / 11,C8 run-level attempted / success / FCM non-convergence / coverage-gap,revision_v4_1/derived/FAILURE_TAXONOMY_V4_1.json,evidence/campaigns/c8/C8_CONSTRUCTION_LEDGER.jsonl,C8_FMAPPER_AXIS3,failure-accounting
2160 / 1201,III-2B cell-level planned eligible constructions / joint recoveries,revision_v4_1/derived/FAILURE_TAXONOMY_V4_1.json,evidence/baseline/axis3_iii2/III2B_RECOVERY_SUMMARY.csv,AXIS3_III2,confirmatory (cell-level; run-level journals not reconstructed)
292 / 50 / 118 / 205,FCM non-convergence at 1e-7/1e-4/1e-5/1e-6 and max_iter=300,revision_v4_1/derived/FCM_SOLVER_SENSITIVITY_AUDIT_V4_1_SUMMARY.json,revision_v4_1/derived/FCM_SOLVER_SENSITIVITY_AUDIT_V4_1.jsonl,C3_FMAPPER; C8_FMAPPER_AXIS3,exploratory robustness; not confirmatory
266 / 26,Frozen FCM failures recovered / remaining at 1e-7 max_iter=1000,revision_v4_1/derived/FCM_SOLVER_SENSITIVITY_AUDIT_V4_1_SUMMARY.json,revision_v4_1/derived/FCM_SOLVER_SENSITIVITY_AUDIT_V4_1.jsonl,C3_FMAPPER; C8_FMAPPER_AXIS3,exploratory robustness; not confirmatory
1055 / 1035,FCM audit construction records / unique dataset-seed-c jobs,revision_v4_1/derived/FCM_SOLVER_SENSITIVITY_AUDIT_V4_1_SUMMARY.json,evidence/campaigns/c3/PLAN.jsonl; evidence/campaigns/c8/PLAN.jsonl,C3_FMAPPER; C8_FMAPPER_AXIS3,exploratory robustness; not confirmatory
skipped_interpreter_unavailable,ENV_EQUIVALENCE_CHECK_V4_1 status,revision_v4_1/derived/ENV_EQUIVALENCE_CHECK_V4_1_SKIP.json,plan section 6.2,(not a scientific claim),provenance
