campaign_id,method,dataset,lens,n_generator_rule,cover_or_radius,dbscan,fcm_solver,noise_model,replicate_unit,primary_endpoint,authority
C4_FMAPPER,F-Mapper,"Circle, Swiss, Digits",dataset canonical (Circle height y; Swiss radial_xz; Digits frozen PC1),Circle N=1000 uniform; Swiss N_base=2500 with hole excision (variable realized N); Digits 1797x64 frozen PCA artifact,"fuzzy cover c=8, tau=0.10, frozen on the reference then applied to 50%/80% subsamples","digits_1797x64_scaled16: eps=1.455055840852852, min_samples=3; swiss_roll_with_hole: eps=1.015739105123552, min_samples=3; unit_circle_S1: eps=0.15, min_samples=3","tol=1e-7, max_iter=300, deterministic linspace init; fcm_seed retained but inert",none (subsampling of clean realizations),20 defined comparisons per dataset x retention cell,median exact joint D_M^NA at 50% vs 80% retention,evidence/campaigns/c4_fmapper/C4R_CONSTRUCTION_LEDGER.jsonl
CIA2_CONVENTIONAL,Conventional Mapper,"Circle, Swiss, Digits",dataset canonical,Circle N=1000; Swiss N_base=2500 hole excision; Digits 1797x64 frozen PCA,"regular cover n_intervals=10, overlap=0.30, frozen reference intervals","all three datasets including Digits: eps=0.15, min_samples=3 (Digits is NOT the C3 scale-rule eps)",n/a,none (subsampling of clean realizations),20 planned comparisons per dataset x retention cell,"exact joint D_M^NA; defined-denominator counts. Digits: clean reference degenerate/all_points_unassigned, so 0/20 defined",evidence/campaigns/conventional_fixed_cover/CIA2_CONSTRUCTION_LEDGER.jsonl
C1_SWISS,Conventional Mapper,Swiss roll with hole,radial_xz,"generate_swiss_roll_with_hole(N=2500, resample_to_exact_N=False); hole excision; realized N varies by data_seed","regular cover n_intervals=10, overlap=0.3; clean realized pullbacks frozen within replicate","eps=1.015739105123552, min_samples=3",n/a,"coordinate Gaussian, sigma=alpha*epsilon0 with epsilon0=11.634735480276268; alpha in {0.05,0.10,0.20,0.30}",30 clean references; 30 paired realizations at each of four positive doses (150 constructions),originally adjudicated C1 pattern at alpha=0.05; terminal PRIMARY_PATTERN_NOT_OBSERVED. Full four-dose D_M^NA and Silhouette series retained as descriptive,evidence/campaigns/c1/FINAL_ACCOUNTING.json; replay_inputs/axis1_corrections/C1_PLAN.jsonl
C3_FMAPPER,F-Mapper,"Swiss (500 records), Digits (25 records)",Swiss radial_xz; Digits frozen PC1,Swiss N_base=2500 hole excision; Digits 1797x64 frozen PCA; one Digits realization per grid cell,"fuzzy cover c in {5,8,10,15,20}, tau in {0.10,0.15,0.20,0.30,0.40}","digits_1797x64_scaled16: eps=1.455055840852852, min_samples=3; swiss_roll_with_hole: eps=1.015739105123552, min_samples=3","tol=1e-7, max_iter=300, deterministic linspace init; fcm_seed retained but inert",none (construction-reliability grid),Swiss: 20 data realizations per cell; Digits: 1 realization per cell,construction-status counts (success / FCM non-convergence under frozen solver / coverage gap),evidence/campaigns/c3/C3_CONSTRUCTION_LEDGER.jsonl
TRACK_C_C7,Conventional Mapper,unit_circle_S1,height y,"generate_clean_circle(N=1000, radius=1.0, sampling=uniform)","regular cover n in {6,10,15,20}, overlap=0.30; clean realized pullbacks frozen within configuration and replicate","eps in {0.08,0.15,0.25}, min_samples=3",n/a,"four positive coordinate-noise doses alpha in {0.05,0.10,0.20,0.30}; alpha=0 is the clean reference, not one of the 48 perturbed cells",10 replicate streams; 4 x 4 x 3 = 48 perturbed cells; 600 constructions / 480 eligible comparisons,C7: beta_12 (n_intervals x eps) after exact-joint endpoint correction; no new Mapper constructions,evidence/campaigns/c7/C7_INTERACTION_FIT.json; evidence/baseline/track_c/IB5_INTERACTIONS_COMPARISON_LEDGER.jsonl
C6A_CONVENTIONAL,Conventional Mapper,Swiss roll with hole,radial_xz,Swiss N_base=2500 hole excision; realized N recorded per row (e.g. 2217 on replicate 0),"frozen regular cover n in {10,15}, overlap=0.30","eps=1.015739105123552, min_samples=3",n/a,"alpha in {0,0.05,0.10,0.20,0.30}; primary contrast at alpha=0.05",20 replicates; 200 frozen-cover constructions,paired contrast D(n=15)-D(n=10) at alpha=0.05; terminal PRIMARY_ESTIMAND_NOT_MEASURABLE,evidence/campaigns/c6a/C6A_LEDGER.jsonl; contracts/C6A_CONVENTIONAL_SWISS_NOISE_X_COVER_V1.json
C6B_BALL,Ball Mapper,Swiss roll with hole,n/a (metric cover),Swiss N_base=2500 hole excision,"frozen landmarks; epsilon0=0.8143977317769947; k in [1.0, 1.5, 2.0]",n/a,n/a,"alpha in [0.0, 0.05, 0.1, 0.2, 0.3]",20 replicates; 300 frozen-landmark constructions,median edge-Jaccard difference-in-differences; interval spans zero,contracts/C6B_BALL_SWISS_NOISE_X_RADIUS_V1.json; evidence/campaigns/c6b/C6B_LEDGER.jsonl
C9_BALL_CIRCLE,Ball Mapper,unit_circle_S1,n/a (metric cover); lens_id recorded as circle_height_y in the contract only,"generate_clean_circle(N=1000, radius=1.0, sampling=uniform)","frozen landmarks; epsilon0=0.9092268858543847; k in [1.0, 1.5, 2.0]",n/a,n/a,"alpha in {0,0.05,0.10,0.20,0.30}; sigma=alpha*epsilon0",20 replicates; 300 constructions,edge-Jaccard DiD; vacuous because k=2.0 is a saturated two-node one-edge graph,contracts/C9_BALL_CIRCLE_NOISE_X_RADIUS_V1.json; evidence/campaigns/c9/C9_LEDGER.jsonl
C8_FMAPPER_AXIS3,F-Mapper,Circle grid N=1000 (500); Tripod N=1000 (30),Circle height y; Tripod height y,Circle uniform N=1000; Tripod N=1000,"fuzzy cover c in {5,8,10,15,20}, tau in {0.10,0.15,0.20,0.30,0.40}; primary cell (c=10, tau=0.10)","eps=0.15, min_samples=3 (III-1 Axis-III clusterer, not the Swiss scale rule)","tol=1e-7, max_iter=300, deterministic linspace init; fcm_seed retained but inert",none (independent data realizations),Circle 20 per cell; Tripod 30 at the primary cell; 530 constructions,"Tier-A invariant agreement at (c=10, tau=0.10); full grid descriptive",evidence/campaigns/c8/C8_CONSTRUCTION_LEDGER.jsonl; contracts/C8_FMAPPER_CIRCLE_GRID_AND_AXIS3_REPLICATION_V1.json
C5_FMAPPER,F-Mapper,"one Circle case, one Tripod case",height y,same frozen C8/C5 cell configuration,"c=10, tau=0.10","eps=0.15, min_samples=3","tol=1e-7, max_iter=300, deterministic linspace init; fcm_seed retained but inert",none,n=1 per domain,finite-case invariant agreement; Tripod non-convergent under frozen solver; frequencies from C8,evidence/campaigns/c5/C5TA_LEDGER.jsonl
